Position,Context,Actual_Token,Actual_Probability,Surprisal_Bits,Rank_in_Top10,Top1_Token,Top1_Prob,Top2_Token,Top2_Prob,Top3_Token,Top3_Prob,Top4_Token,Top4_Prob,Top5_Token,Top5_Prob,Top6_Token,Top6_Prob,Top7_Token,Top7_Prob,Top8_Token,Top8_Prob,Top9_Token,Top9_Prob,Top10_Token,Top10_Prob
104," = a + b;
    a = b;
    b = temp;
  }
  
  return",' b',0.053780,4.217,4,' a',0.333472,' temp',0.210556,' (',0.053972,' b',0.053780,' ',0.045289,' 0',0.033069,' 1',0.014241,' n',0.012333,' an',0.009842,' -',0.009369
105," a + b;
    a = b;
    b = temp;
  }
  
  return b",';',0.764785,0.387,1,';',0.764785,' +',0.119396,' -',0.028899,' *',0.017897,' ;',0.016304,'.',0.007519,' /',0.004497,' ?',0.003827,"','",0.003742,'/',0.001921
106,"a + b;
    a = b;
    b = temp;
  }
  
  return b;",'\n',0.948663,0.076,1,'\n',0.948663,' }',0.016772,' ',0.011824,'<|endoftext|>',0.002498,' //',0.002441,'\n\n',0.001391,' \xa0',0.001198,' (',0.000907,'\xa0',0.000817,"' ,'",0.000474
107," + b;
    a = b;
    b = temp;
  }
  
  return b;
",'}',0.034014,4.878,2,'\n',0.900403,'}',0.034014,' ',0.022231,' }',0.002740,'\xa0',0.002575,'};',0.001850,'\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0',0.001518,'let',0.001358,'\\',0.000651,'\xa0\xa0\xa0\xa0',0.000551
108,"+ b;
    a = b;
    b = temp;
  }
  
  return b;
}",'\n',0.897065,0.157,1,'\n',0.897065,' ',0.020298,' else',0.011030,' function',0.005307,' catch',0.003887,'<|endoftext|>',0.003454,'\n\n',0.003219,' let',0.003165,' }',0.002030,' //',0.001672
109," b;
    a = b;
    b = temp;
  }
  
  return b;
}
",'\n',0.977832,0.032,1,'\n',0.977832,'}',0.005273,'let',0.000662,'The',0.000635,'return',0.000546,'#',0.000543,'//',0.000327,'def',0.000285,'This',0.000242,'};',0.000237
110,"b;
    a = b;
    b = temp;
  }
  
  return b;
}

",'function',0.068593,3.866,2,'}',0.128562,'function',0.068593,'#',0.036872,'return',0.036120,'//',0.030983,'let',0.027810,'static',0.018414,'if',0.018203,'int',0.014789,'fn',0.014497
111," = b;
    b = temp;
  }
  
  return b;
}

function",' is',0.006577,7.248,not_in_top10,' calculate',0.261686,' get',0.042022,' compute',0.018826,' sum',0.017052,' add',0.013284,' set',0.011871,' f',0.010701,' calc',0.010061,' find',0.009040,' generate',0.007990
112,"b;
    b = temp;
  }
  
  return b;
}

function is",'Prime',0.007860,6.991,not_in_top10,'F',0.171254,'E',0.025810,'Valid',0.022128,'_',0.021830,'N',0.014684,'Na',0.013818,'C',0.012737,'Empty',0.011587,'B',0.010213,'T',0.008655
113,"  b = temp;
  }
  
  return b;
}

function isPrime",'(',0.245622,2.025,1,'(',0.245622,' (',0.188578,'F',0.058613,'()',0.033794,'Prime',0.018853,'Zero',0.017425,' ()',0.014447,'Int',0.011018,'Min',0.010878,'Time',0.010368
114," b = temp;
  }
  
  return b;
}

function isPrime(",'num',0.005323,7.554,not_in_top10,'n',0.444255,'a',0.088713,'x',0.057076,'b',0.033051,'f',0.031602,'i',0.024486,'t',0.011220,' n',0.008966,'s',0.008537,'c',0.008375
115,"= temp;
  }
  
  return b;
}

function isPrime(num",')',0.323000,1.630,1,')',0.323000,"','",0.225378,'){',0.086099,' =',0.025410,'_',0.021284,' )',0.017496,'1',0.013909,'Num',0.008305,':',0.007993,'Min',0.007744
116," temp;
  }
  
  return b;
}

function isPrime(num)",' {',0.876245,0.191,1,' {',0.876245,'\n',0.019057,' returns',0.011840,' return',0.008453,' const',0.006031,' {}',0.005645,' :',0.002642,' if',0.002543,' is',0.001977,' (',0.001757
117,"emp;
  }
  
  return b;
}

function isPrime(num) {",'\n',0.688994,0.537,1,'\n',0.688994,' ',0.090617,' return',0.045008,' if',0.030526,' let',0.019822,' n',0.005510,' for',0.004794,' \xa0',0.004252,' num',0.003010,' var',0.002977
118,"mp;
  }
  
  return b;
}

function isPrime(num) {
",' ',0.000011,16.457,5,'\n',0.999787,'.',0.000046,' (',0.000019,"','",0.000017,' ',0.000011,'\xa0',0.000011,'-',0.000009,':',0.000007,"' ""'",0.000006,' and',0.000005
119,"p;
  }
  
  return b;
}

function isPrime(num) {
 ",' if',0.140507,2.831,2,' ',0.152899,' if',0.140507,' return',0.136775,' for',0.055653,' int',0.028882,'\n',0.027010,' var',0.019098,'\xa0',0.013915,' let',0.013367,' while',0.011665
120,"  }
  
  return b;
}

function isPrime(num) {
  if",' (',0.888737,0.170,1,' (',0.888737,' (!',0.021297,' ((',0.016148,' num',0.010957,'(',0.006720,' !',0.005759,' n',0.004840,' (*',0.003904,' ',0.003409,' (_',0.003075
121,"}
  
  return b;
}

function isPrime(num) {
  if (",'num',0.854256,0.227,1,'num',0.854256,'n',0.084587,'is',0.005779,'Num',0.005193,'i',0.002891,'Math',0.001444,'m',0.001409,'number',0.001339,' num',0.001125,'1',0.001019
122," 
  return b;
}

function isPrime(num) {
  if (num",' <=',0.183974,2.442,2,' >',0.223684,' <=',0.183974,' <',0.183418,' ==',0.159710,' >=',0.139374,' !=',0.024545,')',0.021744,'>',0.010358,' ===',0.008236,'<',0.005863
123," return b;
}

function isPrime(num) {
  if (num <=",' 1',0.410778,1.284,1,' 1',0.410778,' 0',0.197782,' 2',0.085305,' 3',0.033949,' num',0.022930,' n',0.021953,' -',0.015407,' 5',0.013296,' 10',0.013046,' 4',0.011553
124,"eturn b;
}

function isPrime(num) {
  if (num <= 1",')',0.722750,0.468,1,')',0.722750,' ||',0.143173,' &&',0.088634,'){',0.015570,' )',0.004438,'.',0.002626,' or',0.002212,' and',0.001853,"','",0.001372,'||',0.001097
125,"turn b;
}

function isPrime(num) {
  if (num <= 1)",' {',0.869367,0.202,1,' {',0.869367,' return',0.057908,' ',0.012548,'\n',0.006370,' if',0.002935,' a',0.002695,' let',0.002202,' is',0.001697,' n',0.001370,' for',0.001311
126,"rn b;
}

function isPrime(num) {
  if (num <= 1) {",'\n',0.243932,2.035,2,' ',0.687398,'\n',0.243932,' return',0.007336,' \xa0',0.005013,' if',0.003246,' num',0.003198,' }',0.002088,' n',0.001527,' let',0.001382,' (',0.001110
127,"n b;
}

function isPrime(num) {
  if (num <= 1) {
",' ',0.000553,10.822,2,'\n',0.998668,' ',0.000553,'\xa0',0.000090,'.',0.000086,' (',0.000070,"','",0.000045,' .',0.000030,"' ""'",0.000028,' -',0.000024,' and',0.000019
128," b;
}

function isPrime(num) {
  if (num <= 1) {
 ",' ',0.879916,0.185,1,' ',0.879916,' }',0.008681,' if',0.005744,' return',0.005476,' is',0.004219,'\n',0.003890,'\xa0',0.003653,' \xa0',0.003130,' else',0.002532,' *',0.002189
129,"b;
}

function isPrime(num) {
  if (num <= 1) {
  ",' ',0.531844,0.911,1,' ',0.531844,' return',0.102206,' if',0.030710,' is',0.025054,' }',0.012916,' for',0.009810,' num',0.007661,' n',0.007568,' set',0.005966,' a',0.005919
130,";
}

function isPrime(num) {
  if (num <= 1) {
   ",' return',0.618249,0.694,1,' return',0.618249,' if',0.048494,' ',0.030987,' for',0.024124,' is',0.013135,' a',0.012395,' n',0.011976,' num',0.011326,' set',0.006547,' let',0.005160
131,"nction isPrime(num) {
  if (num <= 1) {
    return",' false',0.003653,8.097,not_in_top10,' num',0.395145,' n',0.100854,' 1',0.091855,' 0',0.060124,' (',0.058421,' -',0.021029,' Num',0.020252,' a',0.015483,' 2',0.011136,' {',0.006699
132," isPrime(num) {
  if (num <= 1) {
    return false",';',0.993040,0.010,1,';',0.993040,' ;',0.002058,"','",0.001082,' +',0.000558,' ||',0.000537,';}',0.000491,'.',0.000301,' -',0.000255,' &&',0.000165,' ?',0.000150
133,"isPrime(num) {
  if (num <= 1) {
    return false;",'\n',0.823176,0.281,1,'\n',0.823176,' ',0.157130,' }',0.006086,' //',0.001554,' \xa0',0.001492,'\xa0',0.000520,' (',0.000475,' else',0.000395,' \\',0.000363,' +',0.000262
134,"sPrime(num) {
  if (num <= 1) {
    return false;
",' ',0.001878,9.056,2,'\n',0.996874,' ',0.001878,' (',0.000110,'.',0.000091,"','",0.000083,'\xa0',0.000080,' -',0.000046,"' ""'",0.000037,' and',0.000037,' |',0.000036
135,"Prime(num) {
  if (num <= 1) {
    return false;
 ",' }',0.734963,0.444,1,' }',0.734963,' ',0.188717,'\n',0.041742,' return',0.002871,' if',0.002151,' else',0.001960,'}',0.001253,' set',0.000860,'\xa0',0.000849,' t',0.000749
136,"ime(num) {
  if (num <= 1) {
    return false;
  }",'\n',0.557713,0.842,1,'\n',0.557713,' ',0.216124,' else',0.191261,' if',0.012417,' }',0.003363,' \xa0',0.001361,'else',0.001268,' for',0.001226,' n',0.000778,'\xa0',0.000653
137,"me(num) {
  if (num <= 1) {
    return false;
  }
",' ',0.000091,13.424,2,'\n',0.999540,' ',0.000091,'.',0.000053,"','",0.000028,' (',0.000024,'\xa0',0.000023,':',0.000012,' and',0.000010,'-',0.000010,' -',0.000010
138,"e(num) {
  if (num <= 1) {
    return false;
  }
 ",' ',0.896949,0.157,1,' ',0.896949,'\n',0.028342,' }',0.014304,' if',0.006361,' else',0.005018,'\xa0',0.001974,' \xa0',0.001856,' n',0.001722,' return',0.001419,' for',0.001040
139,"(num) {
  if (num <= 1) {
    return false;
  }
  ",'\n',0.362006,1.466,1,'\n',0.362006,' if',0.124774,' return',0.096771,' ',0.085141,' for',0.083093,' let',0.037320,' }',0.018117,' else',0.015346,' num',0.010643,' n',0.009269
140,"num) {
  if (num <= 1) {
    return false;
  }
  
",' ',0.000086,13.512,8,'\n',0.996965,'}',0.000420,'for',0.000415,'let',0.000252,'if',0.000105,'\\',0.000103,' for',0.000091,' ',0.000086,'.',0.000080,'//',0.000065
141,"um) {
  if (num <= 1) {
    return false;
  }
  
 ",' if',0.134919,2.890,3,' let',0.252962,' for',0.156308,' if',0.134919,' return',0.106616,'\n',0.027699,' ',0.023494,' while',0.019733,' num',0.015225,' n',0.011111,' }',0.008930
142," {
  if (num <= 1) {
    return false;
  }
  
  if",' (',0.855069,0.226,1,' (',0.855069,' num',0.024060,' (!',0.015019,' n',0.011685,' ((',0.011263,' a',0.006383,' !',0.004609,' (*',0.004130,'(',0.003070,' (_',0.002195
143,"
  if (num <= 1) {
    return false;
  }
  
  if (",'num',0.890041,0.168,1,'num',0.890041,'n',0.033694,'is',0.006765,'Num',0.006613,'i',0.003246,'a',0.002631,'x',0.001563,' num',0.001340,'1',0.001262,'f',0.001119
144,"if (num <= 1) {
    return false;
  }
  
  if (num",' <=',0.318186,1.652,1,' <=',0.318186,' >',0.187420,' >=',0.179708,' <',0.128320,' ==',0.084161,' !=',0.018604,'<',0.007634,')',0.006362,' -',0.006233,' =',0.005347
145,"(num <= 1) {
    return false;
  }
  
  if (num <=",' 3',0.019177,5.704,6,' 2',0.647864,' 1',0.115289,' 0',0.075281,' n',0.032777,' -',0.028832,' 3',0.019177,' 10',0.009870,' 4',0.009554,' 5',0.006586,' 6',0.002617
146,"um <= 1) {
    return false;
  }
  
  if (num <= 3",')',0.962514,0.055,1,')',0.962514,' &&',0.013329,' ||',0.007465,'){',0.003241,' )',0.002619,'.',0.001507,' or',0.001499,';',0.000605,"','",0.000603,"'),'",0.000478
147,"m <= 1) {
    return false;
  }
  
  if (num <= 3)",' {',0.983819,0.024,1,' {',0.983819,' return',0.002324,' ',0.002322,'\n',0.001701,' if',0.000565,' ||',0.000332,' num',0.000285,' {\\',0.000230,' (',0.000207,' then',0.000196
148,"<= 1) {
    return false;
  }
  
  if (num <= 3) {",'\n',0.473396,1.079,2,' ',0.497483,'\n',0.473396,' \xa0',0.006770,' if',0.001684,' return',0.001127,' }',0.001010,'\xa0',0.000923,' //',0.000699,'\n\xa0',0.000583,' \xa0 \xa0',0.000533
149,"= 1) {
    return false;
  }
  
  if (num <= 3) {
",' ',0.009794,6.674,2,'\n',0.987664,' ',0.009794,'\xa0',0.000402,'.',0.000172,' (',0.000168,"','",0.000117,' .',0.000093,"' ""'",0.000076,' |',0.000069,' -',0.000062
150," 1) {
    return false;
  }
  
  if (num <= 3) {
 ",' ',0.995064,0.007,1,' ',0.995064,'\xa0',0.001268,' \xa0',0.000347,' *',0.000281,' }',0.000277,' .',0.000171,'\n',0.000152,' [',0.000092,' i',0.000083,' e',0.000082
151,"1) {
    return false;
  }
  
  if (num <= 3) {
  ",' ',0.944385,0.083,1,' ',0.944385,' return',0.015108,' }',0.002723,' if',0.002623,' t',0.001002,' a',0.000900,' d',0.000855,' \xa0',0.000720,' c',0.000708,'\xa0',0.000698
152,") {
    return false;
  }
  
  if (num <= 3) {
   ",' return',0.744382,0.426,1,' return',0.744382,' ',0.034047,' if',0.023864,' a',0.018324,' n',0.005859,' num',0.004969,' for',0.004870,' set',0.004151,' is',0.002972,' m',0.002792
153," return false;
  }
  
  if (num <= 3) {
    return",' true',0.222797,2.166,2,' false',0.671980,' true',0.222797,' 1',0.010114,' 0',0.009652,' True',0.005830,' (',0.004463,' False',0.003921,' ',0.003228,' -',0.003209,' a',0.003204
154,"rn false;
  }
  
  if (num <= 3) {
    return true",';',0.996736,0.005,1,';',0.996736,'.',0.001297,"','",0.000967,' ;',0.000182,'\n',0.000093,':',0.000090,' -',0.000042,' =',0.000041,'/',0.000039,' and',0.000036
155,"n false;
  }
  
  if (num <= 3) {
    return true;",'\n',0.692735,0.530,1,'\n',0.692735,' ',0.299683,' }',0.001538,'\xa0',0.000496,' \xa0',0.000496,' //',0.000360,' (',0.000276,' \\',0.000263,' i',0.000258,' e',0.000232
156," false;
  }
  
  if (num <= 3) {
    return true;
",' ',0.082943,3.592,2,'\n',0.910372,' ',0.082943,'\xa0',0.001015,' (',0.000395,' }',0.000371,"','",0.000304,' |',0.000268,"' ""'",0.000252,'.',0.000249,' I',0.000169
157,"false;
  }
  
  if (num <= 3) {
    return true;
 ",' }',0.893290,0.163,1,' }',0.893290,' ',0.095365,'\n',0.002642,'\xa0',0.000876,'}',0.000652,"' },'",0.000482,' };',0.000304,' .',0.000276,' \xa0',0.000275,' ;',0.000246
158,"lse;
  }
  
  if (num <= 3) {
    return true;
  }",'\n',0.917181,0.125,1,'\n',0.917181,' ',0.069799,' else',0.007808,' if',0.000672,' \xa0',0.000542,'\xa0',0.000473,' }',0.000428,'<|endoftext|>',0.000120,' //',0.000119,' for',0.000093
159,"se;
  }
  
  if (num <= 3) {
    return true;
  }
",' ',0.000573,10.770,2,'\n',0.998827,' ',0.000573,'.',0.000062,'\xa0',0.000057,"','",0.000039,' (',0.000035,'<|endoftext|>',0.000018,"' ""'",0.000017,' -',0.000016,'\n\n',0.000014
160,"e;
  }
  
  if (num <= 3) {
    return true;
  }
 ",' ',0.991779,0.012,1,' ',0.991779,'\n',0.002561,'\xa0',0.001480,' }',0.000700,' \xa0',0.000445,' *',0.000287,' l',0.000131,' .',0.000128,' [',0.000106,' e',0.000086
161,";
  }
  
  if (num <= 3) {
    return true;
  }
  ",'\n',0.758556,0.399,1,'\n',0.758556,' ',0.089513,' if',0.046621,' for',0.013775,' return',0.012763,' }',0.010197,' else',0.008029,' let',0.003469,' while',0.002069,' n',0.001927
162,"
  }
  
  if (num <= 3) {
    return true;
  }
  
",' ',0.001438,9.442,2,'\n',0.993109,' ',0.001438,'}',0.000715,' if',0.000616,'if',0.000434,' for',0.000267,'for',0.000178,' let',0.000167,'\\',0.000118,' }',0.000114
163,"  }
  
  if (num <= 3) {
    return true;
  }
  
 ",' if',0.325086,1.621,1,' if',0.325086,' return',0.147149,' for',0.131937,' let',0.064048,' ',0.032938,' while',0.022180,'\n',0.020909,' num',0.017278,' }',0.011743,' a',0.008578
164,"
  
  if (num <= 3) {
    return true;
  }
  
  if",' (',0.960410,0.058,1,' (',0.960410,' (!',0.016515,' ((',0.010649,' (*',0.001671,'(',0.001051,' (_',0.000971,' (-',0.000570,' !',0.000497,' num',0.000475,' n',0.000425
165," 
  if (num <= 3) {
    return true;
  }
  
  if (",'num',0.955440,0.066,1,'num',0.955440,'n',0.010644,'Num',0.002389,'is',0.001569,'i',0.001285,' num',0.001008,'a',0.000744,'number',0.000621,'x',0.000593,'m',0.000478
166," if (num <= 3) {
    return true;
  }
  
  if (num",' %',0.001334,9.550,not_in_top10,' <=',0.517199,' >',0.145286,' >=',0.131058,' <',0.092221,' ==',0.054043,' !=',0.015394,'<',0.004953,' ===',0.004356,' =',0.002908,' +',0.002516
167,"f (num <= 3) {
    return true;
  }
  
  if (num %",' 2',0.135494,2.884,2,' 3',0.619771,' 2',0.135494,' 4',0.055272,' 1',0.050475,' 5',0.028353,' 10',0.014246,' n',0.009291,' 6',0.007476,' 7',0.006321,' 0',0.005273
168,"(num <= 3) {
    return true;
  }
  
  if (num % 2",' ===',0.037178,4.749,3,' ==',0.600478,')',0.206822,' ===',0.037178,' <=',0.034497,' !=',0.033736,' >=',0.028162,' >',0.008918,' <',0.006396,' +',0.003434,'==',0.002994
169," <= 3) {
    return true;
  }
  
  if (num % 2 ===",' 0',0.340247,1.555,1,' 0',0.340247,' 1',0.215989,' 3',0.109835,' 2',0.068043,' -',0.040267,' 4',0.030557,' 5',0.024859,' num',0.013627,' 9',0.009770,' n',0.009100
170,"= 3) {
    return true;
  }
  
  if (num % 2 === 0",' ||',0.070894,3.818,3,')',0.811772,' &&',0.092596,' ||',0.070894,'){',0.006349,' ===',0.003573,' )',0.002662,'.',0.001546,'x',0.000951,' or',0.000616,';',0.000525
171,") {
    return true;
  }
  
  if (num % 2 === 0 ||",' num',0.709819,0.494,1,' num',0.709819,' (',0.048845,' !',0.036879,' n',0.020303,' ',0.019577,'num',0.014487,' a',0.009206,' 0',0.006111,' 1',0.006040,' is',0.005472
172,"    return true;
  }
  
  if (num % 2 === 0 || num",' %',0.433643,1.205,1,' %',0.433643,' <=',0.161927,' ==',0.074133,' >',0.069117,' <',0.063814,' >=',0.058440,' ===',0.039288,' *',0.011074,' !=',0.009320,' !',0.008813
173,"  return true;
  }
  
  if (num % 2 === 0 || num %",' 3',0.607683,0.719,1,' 3',0.607683,' 2',0.194518,' 1',0.093856,' 4',0.050488,' 5',0.020080,' 0',0.008115,' 10',0.003145,' 6',0.003082,' 7',0.002544,' -',0.001623
174,"return true;
  }
  
  if (num % 2 === 0 || num % 3",' ===',0.973890,0.038,1,' ===',0.973890,' ==',0.008019,' >',0.005625,' !',0.003786,' >=',0.001546,' <=',0.001540,' <',0.001088,'==',0.000666,'===',0.000509,' !=',0.000500
175,"rn true;
  }
  
  if (num % 2 === 0 || num % 3 ===",' 0',0.549239,0.864,1,' 0',0.549239,' 1',0.267412,' -',0.034419,' 2',0.030567,' 3',0.025617,' num',0.008093,' n',0.007311,' 5',0.005509,' (',0.004113,' 4',0.004077
176," true;
  }
  
  if (num % 2 === 0 || num % 3 === 0",')',0.446904,1.162,2,' ||',0.466165,')',0.446904,' &&',0.045905,'){',0.016821,' )',0.005726,'))',0.002933,'||',0.001969,');',0.001730,';',0.001479,' or',0.000852
177,"true;
  }
  
  if (num % 2 === 0 || num % 3 === 0)",' {',0.947768,0.077,1,' {',0.947768,'\n',0.035491,' return',0.003311,' ',0.003084,' ||',0.000551,' then',0.000382,' //',0.000325,' break',0.000296,' *',0.000257,' {\\',0.000237
178,"ue;
  }
  
  if (num % 2 === 0 || num % 3 === 0) {",'\n',0.712463,0.489,1,'\n',0.712463,' ',0.261282,' \xa0',0.004665,' }',0.001079,' //',0.001036,' return',0.001005,'\xa0',0.000911,' if',0.000775,'\n\xa0',0.000724,' \xa0 \xa0',0.000460
179,"e;
  }
  
  if (num % 2 === 0 || num % 3 === 0) {
",' ',0.003183,8.295,2,'\n',0.995439,' ',0.003183,'\xa0',0.000257,'.',0.000105,' (',0.000083,"','",0.000054,"' ""'",0.000047,'\\',0.000045,' .',0.000039,' |',0.000032
180,";
  }
  
  if (num % 2 === 0 || num % 3 === 0) {
 ",' ',0.988966,0.016,1,' ',0.988966,'\xa0',0.003604,' }',0.001017,' \xa0',0.000969,'\n',0.000566,' *',0.000409,' .',0.000253,' l',0.000143,' t',0.000140,' i',0.000117
181,"
  }
  
  if (num % 2 === 0 || num % 3 === 0) {
  ",' ',0.954343,0.067,1,' ',0.954343,' return',0.005575,' }',0.004602,' t',0.001203,'\xa0',0.001083,' \xa0',0.001013,'\n',0.000979,' if',0.000902,' m',0.000815,' d',0.000723
182,"  }
  
  if (num % 2 === 0 || num % 3 === 0) {
   ",' return',0.554397,0.851,1,' return',0.554397,' ',0.119151,' if',0.019489,' a',0.012368,' for',0.009037,' }',0.008583,' set',0.007727,' n',0.005749,' num',0.005439,' temp',0.004645
183,"  if (num % 2 === 0 || num % 3 === 0) {
    return",' false',0.566986,0.819,1,' false',0.566986,' true',0.348204,' 0',0.008215,' 1',0.006123,' (',0.005757,' True',0.004451,' -',0.003260,' False',0.003036,' ',0.002481,' null',0.001840
184,"num % 2 === 0 || num % 3 === 0) {
    return false",';',0.997659,0.003,1,';',0.997659,'.',0.001068,"','",0.000632,' ;',0.000137,':',0.000119,'\n',0.000081,';}',0.000034,');',0.000023,' =',0.000021,'--',0.000015
185,"um % 2 === 0 || num % 3 === 0) {
    return false;",'\n',0.894338,0.161,1,'\n',0.894338,' ',0.097723,' }',0.001346,' //',0.000657,'\xa0',0.000652,' \xa0',0.000400,'\n\n',0.000385,' \\',0.000355,' (',0.000324,'<|endoftext|>',0.000243
186,"m % 2 === 0 || num % 3 === 0) {
    return false;
",' ',0.034698,4.849,2,'\n',0.961086,' ',0.034698,'\xa0',0.000651,' }',0.000282,' (',0.000210,"','",0.000192,"' ""'",0.000181,'.',0.000168,' |',0.000167,' .',0.000125
187," % 2 === 0 || num % 3 === 0) {
    return false;
 ",' }',0.965419,0.051,1,' }',0.965419,' ',0.028748,'\n',0.001365,'}',0.000672,'\xa0',0.000499,' };',0.000372,"' },'",0.000246,' .',0.000167,' ;',0.000148,' //',0.000123
188," 2 === 0 || num % 3 === 0) {
    return false;
  }",'\n',0.969877,0.044,1,'\n',0.969877,' ',0.025070,' else',0.000673,'\xa0',0.000486,' \xa0',0.000301,'<|endoftext|>',0.000260,' }',0.000231,' //',0.000181,' if',0.000171,'\n\xa0',0.000142
189,"2 === 0 || num % 3 === 0) {
    return false;
  }
",' ',0.000662,10.562,2,'\n',0.998765,' ',0.000662,'\xa0',0.000060,'.',0.000055,"','",0.000034,' (',0.000027,'<|endoftext|>',0.000022,'\\',0.000017,"' ""'",0.000017,'\n\n',0.000016
190," === 0 || num % 3 === 0) {
    return false;
  }
 ",' ',0.993613,0.009,1,' ',0.993613,'\xa0',0.002517,'\n',0.001308,' \xa0',0.000418,' }',0.000409,' *',0.000237,' .',0.000118,' [',0.000077,' \\',0.000057,' l',0.000051
191,"=== 0 || num % 3 === 0) {
    return false;
  }
  ",'\n',0.871987,0.198,1,'\n',0.871987,' ',0.048806,' if',0.016406,' }',0.012941,' return',0.006800,' for',0.004056,' else',0.002238,' \xa0',0.001639,'\xa0',0.001395,'\n\xa0',0.001383
192,"== 0 || num % 3 === 0) {
    return false;
  }
  
",' ',0.000246,11.991,2,'\n',0.998628,' ',0.000246,'}',0.000167,'.',0.000061,'\\',0.000051,' if',0.000050,'\xa0',0.000046,' }',0.000041,'<|endoftext|>',0.000028,' for',0.000026
193,"= 0 || num % 3 === 0) {
    return false;
  }
  
 ",' for',0.102766,3.283,3,' if',0.351929,' return',0.213912,' for',0.102766,' ',0.036357,'\n',0.024799,' let',0.021432,' }',0.019071,' while',0.016193,' num',0.014723,' a',0.005444
194,"|| num % 3 === 0) {
    return false;
  }
  
  for",' (',0.977388,0.033,1,' (',0.977388,' ((',0.004956,' i',0.002751,' (_',0.001563,' _',0.001341,' {',0.000733,'(',0.000619,' (*',0.000500,' n',0.000446,' each',0.000422
195," num % 3 === 0) {
    return false;
  }
  
  for (",'let',0.827293,0.274,1,'let',0.827293,'i',0.034545,' let',0.032773,'num',0.018543,'var',0.008897,'for',0.003312,'int',0.003143,'n',0.002558,'if',0.002447,';;',0.002339
196,"m % 3 === 0) {
    return false;
  }
  
  for (let",' i',0.470962,1.086,1,' i',0.470962,' j',0.158542,' n',0.065975,' b',0.047292,' ii',0.037930,' x',0.016060,' c',0.013680,' k',0.008312,' s',0.008206,' f',0.007982
197,"% 3 === 0) {
    return false;
  }
  
  for (let i",' =',0.979705,0.030,1,' =',0.979705,'=',0.011848,' in',0.004862,' :=',0.000614,"','",0.000456,';',0.000218,'=-',0.000185,' :',0.000155,'1',0.000143,':',0.000137
198,"3 === 0) {
    return false;
  }
  
  for (let i =",' 5',0.015641,5.999,7,' 2',0.266678,' 0',0.250089,' 1',0.248955,' 3',0.097306,' 4',0.024866,' num',0.019498,' 5',0.015641,' -',0.010996,' n',0.005766,' 10',0.004921
199,"=== 0) {
    return false;
  }
  
  for (let i = 5",';',0.992285,0.011,1,';',0.992285,' ;',0.001923,'.',0.001343,"','",0.000911,' -',0.000852,':',0.000394,'*',0.000334,' *',0.000248,' +',0.000237,'-',0.000089
200,"== 0) {
    return false;
  }
  
  for (let i = 5;",' i',0.995147,0.007,1,' i',0.995147,' ',0.001328,' j',0.000629,' I',0.000432,'i',0.000278,' ii',0.000197,' e',0.000149,' ++',0.000078,' 0',0.000075,' id',0.000068
201," 0) {
    return false;
  }
  
  for (let i = 5; i",' *',0.000675,10.534,not_in_top10,' <=',0.738613,' <',0.148049,' >=',0.056840,' >',0.017171,' ===',0.011086,' !=',0.005381,' ==',0.003901,'<',0.003450,' =',0.002952,' !',0.001842
202,") {
    return false;
  }
  
  for (let i = 5; i *",' i',0.008181,6.933,not_in_top10,' 2',0.315897,' 3',0.182060,' num',0.106901,'num',0.101065,' n',0.052343,' 4',0.033000,' 1',0.027735,' 5',0.024570,' 10',0.020630,' 100',0.011111
203,"{
    return false;
  }
  
  for (let i = 5; i * i",' <=',0.097678,3.356,3,';',0.284166,')',0.115807,' <=',0.097678,' +',0.092042,'++',0.041153,' >=',0.039344,'.',0.038157,' -',0.026697,'+',0.026058,'--',0.016389
204,"   return false;
  }
  
  for (let i = 5; i * i <=",' num',0.295644,1.758,2,' n',0.330767,' num',0.295644,' 3',0.062419,' 1',0.048702,' 2',0.037933,' 0',0.030853,' 4',0.013697,' 10',0.013188,' 5',0.012616,' 7',0.006559
205,"eturn false;
  }
  
  for (let i = 5; i * i <= num",';',0.891013,0.166,1,';',0.891013,' *',0.018111,' %',0.013183,' +',0.008839,' ;',0.007604,'*',0.006946,' -',0.006285,'.',0.004596,' &&',0.004003,');',0.003872
206,"turn false;
  }
  
  for (let i = 5; i * i <= num;",' i',0.985221,0.021,1,' i',0.985221,' ++',0.009747,'i',0.000790,' ',0.000739,' j',0.000425,' I',0.000307,' )',0.000304,' e',0.000205,' ii',0.000157,' *',0.000155
207,"rn false;
  }
  
  for (let i = 5; i * i <= num; i",' +=',0.021317,5.552,4,'++)',0.694649,' ++',0.146825,'++',0.109387,' +=',0.021317,'--',0.007999,' *',0.004716,' -=',0.003654,' --',0.002878,'+=',0.001452,')',0.001338
208,"false;
  }
  
  for (let i = 5; i * i <= num; i +=",' 6',0.004672,7.742,10,' 1',0.334405,' 3',0.201405,' 2',0.172879,' num',0.077967,' 5',0.050118,' i',0.037052,' 4',0.029917,' n',0.017524,' 0',0.006866,' 6',0.004672
209,"lse;
  }
  
  for (let i = 5; i * i <= num; i += 6",')',0.956220,0.065,1,')',0.956220,'){',0.008876,';',0.008413,' )',0.003599,' &&',0.002656,'.',0.001999,'*',0.001624,' *',0.001402,' +',0.001150,' ||',0.000846
